route_no,stop_sequence,stop_name,latitude,longitude
251B,4,Dibbur Cross,13.1725887016964,77.5301509203401
251B,5,Seetakepanahalli Gate,13.1736239761499,77.5253723857576
251B,6,Seetha Kempanahalli CROSS,13.1709494814,77.5216519553
251B,7,Koluvarayanahalli,13.165012304162,77.5217630052133
251B,8,Linganahalli,13.1564774523286,77.5232196438981
251B,9,Muthkur Hesaraghatta,13.1562762894,77.50917105
251B,10,Muthkur Hesaraghatta,13.1429567465952,77.5023161281348
251B,11,Ivara Kondapura,13.1376227182749,77.4945140443817
251B,12,TB Stop Tumkur Road,13.1353977229,77.491142666
251B,13,Hesaraghatta T B Cross,13.1303755010584,77.4844427333419
251B,14,Thirumalapura Gate,13.1254346003758,77.4836754067015
251B,15,Hurali Chikkana Halli,13.1157687306,77.48280745
251B,16,Thore Nagasandra cross,13.1119,77.48193
251B,17,Tharabana Halli Choultry,13.1054102659,77.4793071768592
251B,18,Tharabana Halli Hesaraghatta,13.1012771420161,77.48098008496
251B,19,Soladevana Halli,13.0934768863987,77.4888659663202
251B,20,Dwarka Nagar,13.0878252260298,77.4951502027216
251B,21,Chikkabanavara,13.0819445080855,77.5002850635462
251B,22,Chikka Banawara Sante Beedi,13.0803491798876,77.5024458583163
251B,23,Chikkabanawara Railway Gate,13.0754586495,77.5047392026
251B,24,Janapriya Apartments,13.0732598540988,77.5031339897225
251B,25,Sapthagiri College Chikka Banawara,13.0667320135645,77.503338713534
251B,26,Bone Mill,13.0639091538335,77.5051955240698
251B,27,Bagalagunte,13.0570226434639,77.5072479826503
251B,28,Widia School Bagalagunte,13.051208886598,77.5078871740631
251B,29,8th Mile T Dasarahalli,13.04522565620011,77.50835934429267
251B,30,T Dasarahalli,13.0429667,77.51315975
251B,31,Jalahalli Cross,13.03997892,77.51863784
251B,32,Peenya 1st stage,13.03621356,77.52548776
251B,33,S R S Jalahalli Cross,13.03473989,77.53006188
251B,34,CMTI Goragunte Palya,13.0316378,77.53537182
251B,35,Goragunte Palya,13.02882709,77.54031091
251B,36,MEI Guragunte Palya,13.02654769,77.54441827
251B,37,YPR RMC,13.0247064,77.54766623
251B,38,Govardhan Talkies,13.01868,77.55338
251B,39,Yeshwanthpura TTMC,13.0177657,77.5567529
251B,40,Tata Institute,13.01568,77.56332
251B,41,Malleshwaram 18th Cross,13.0099845663607,77.5691493270388
